movie_name,tmdb_id,tmdb_title,tmdb_release_date,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,tmdb_overview,streaming_services,rent_services,buy_services,tmdb_watch_link,match_status,metadata_as_of_date
"""Titus""",12524,Titus,1999-12-25,6.437,285,1.9592,"Titus Andronicus returns from the wars and sees his sons and daughters taken from him, one by one. Shakespeare's goriest and earliest tragedy.",,,,,found,2026-05-13
'Breaker' Morant,13783,Breaker Morant,1980-06-11,7.1,158,0.7929,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom.","Amazon Prime Video, HBO Max, HBO Max Amazon Channel, Criterion Channel, Amazon Prime Video with Ads, Shout! Factory Amazon Channel",Amazon Video,Amazon Video,https://www.themoviedb.org/movie/13783-breaker-morant/watch?locale=US,found,2026-05-13
'Til There Was You,32872,'Til There Was You,1997-05-30,4.014,37,0.836,"Two strangers, whose paths are always crossing, finally meet when fate steps in. It took them twenty years to fall in love at first sight.",,,,,found,2026-05-13
*batteries not included,11548,*batteries not included,1987-12-18,6.705,790,2.1539,"In a soon to be demolished block of apartments, the residents resist the criminal methods used to force them to leave so a greedy tycoon can build his new skyscraper. When tiny mechanical aliens land for a recharge, they decide to stay and help out.",,"Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home","Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home",https://www.themoviedb.org/movie/11548-batteries-not-included/watch?locale=US,found,2026-05-13
...And Justice for All,17443,...And Justice for All,1979-10-19,7.09,586,2.7257,An ethical Baltimore defense lawyer disgusted with rampant legal corruption is forced to defend a judge he despises in a rape trial under the threat of being disbarred.,,"Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home","Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home",https://www.themoviedb.org/movie/17443-and-justice-for-all/watch?locale=US,found,2026-05-13
10 Things I Hate About You,4951,10 Things I Hate About You,1999-03-30,7.6,8877,15.0976,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",YouTube TV,"Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home","Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home",https://www.themoviedb.org/movie/4951-10-things-i-hate-about-you/watch?locale=US,found,2026-05-13
10 to Midnight,18587,10 to Midnight,1983-03-11,6.2,226,2.6446,"Warren Stacy, an office equipment repairman, begins murdering women after they reject his advances. To minimize the evidence, Stacy always kills while naked, wearing nothing but gloves, and further evades the law with his strong alibis. Veteran detective Leo Kessler is convinced of Stacy's guilt and begins using questionable methods to catch him.","fuboTV, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus, Philo","Amazon Video, Apple TV Store","Amazon Video, Apple TV Store",https://www.themoviedb.org/movie/18587-10-to-midnight/watch?locale=US,found,2026-05-13
100% Arabica,99800,100% Arabica,1997-11-05,5.75,4,0.1959,"The movie takes place in a poverty-stricken, rent-controlled neighborhood on the outskirts of Paris. Algerian immigrants, many of whom are in France illegally, the place has earned the nickname of ""100%Arabica"". It's a rough neighborhood - crime is rampant, gangs of juvenile delinquents roam the streets, and the police are afraid to patrol the area. When the out-of-touch mayor decides that he wants to restore order to the area, he offers a subsidy to Slimane, the imam of the local mosque. If Slimane can get people off the streets, the mayor will continue the payments. Soon the byways of 100%Arabica are almost peaceful - but not because of something Slimane has done. The reason is that a new Rai Band, Rap Oriental, has taken the neighborhood by storm...",,Amazon Video,Amazon Video,https://www.themoviedb.org/movie/99800-100-arabica/watch?locale=US,found,2026-05-13
101 Dalmatians,11674,101 Dalmatians,1996-11-27,5.941,3623,7.2693,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",,"Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home","Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home",https://www.themoviedb.org/movie/11674-101-dalmatians/watch?locale=US,found,2026-05-13
102 Dalmatians,10481,102 Dalmatians,2000-10-07,5.508,1465,3.0799,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",,"Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home","Amazon Video, Apple TV Store, Google Play Movies, YouTube, Fandango At Home",https://www.themoviedb.org/movie/10481-102-dalmatians/watch?locale=US,found,2026-05-13
